"问题","答案"
"[【总则】- 制度目的与适用范围] 这个出差制度是管谁的？","本制度适用于知序科技总部及各分支机构全体正式员工。外包人员及实习生出差参照本制度执行，但需额外审批。"
"[【总则】- 制度目的与适用范围] 我是外包人员，出差也要按这个制度来吗？","外包人员及实习生出差参照本制度执行，但需额外审批。"
"[【总则】- 制度目的与适用范围] 制度目的是啥？","为规范知序科技（北京）有限公司员工出差行为，控制差旅成本，提高出差效率，特制定本制度。"
"[【出差审批流程】- 审批层级与审批材料] 普通员工出差找谁审批？","普通员工出差由直属部门经理审批，预计费用5000元以下。"
"[【出差审批流程】- 审批层级与审批材料] 部门经理出差要谁批？","部门经理出差由分管副总裁审批，预计费用10000元以下。"
"[【出差审批流程】- 审批层级与审批材料] 出差申请要交哪些材料？","需提交《出差申请单》（系统在线填写）、行程计划表（含交通方式、住宿安排）、费用预算明细，客户拜访需附客户确认函。"
"[【出差审批流程】- 审批层级与审批材料] 副总裁出差谁审批？","副总裁及以上出差由总裁审批，无金额限制。"
"[【出差审批流程】- 紧急出差处理] 临时要出差来不及走流程怎么办？","遇紧急业务需要临时出差，可先电话请示直属上级，获得口头批准后出行，但须在出差返回后3个工作日内补办审批手续。逾期未补办者，差旅费用不予报销。"
"[【出差审批流程】- 紧急出差处理] 紧急出差回来忘了补手续会怎样？","逾期未补办者，差旅费用不予报销。"
"[【出差审批流程】- 紧急出差处理] 紧急出差补办审批有时间限制吗？","须在出差返回后3个工作日内补办审批手续。"
"[【差旅费用标准】- 交通工具与住宿标准] 普通员工出差能坐飞机什么舱？","普通员工出差飞机为经济舱，高铁为二等座，市内交通为公交/地铁/网约车。"
"[【差旅费用标准】- 交通工具与住宿标准] 去北京出差住宿一晚能报多少？","一线城市（北京/上海/广州/深圳）住宿上限：普通员工500元，部门经理800元，副总裁1200元。超标部分由个人承担，特殊情况需提前报批。"
"[【差旅费用标准】- 交通工具与住宿标准] 部门经理出差住二线城市标准是多少？","二线城市住宿上限：部门经理600元。超标部分由个人承担，特殊情况需提前报批。"
"[【差旅费用标准】- 交通工具与住宿标准] 住宿超标了怎么办？","超标部分由个人承担，特殊情况需提前报批。"
"[【差旅费用标准】- 餐费补贴] 出差吃饭一天补贴多少？","出差期间餐费补贴为每人每天100元，不再凭票报销。"
"[【差旅费用标准】- 餐费补贴] 出差请客户吃饭能报销吗？","如出差期间有客户宴请，宴请费用单独报销，需附宴请人员名单及事由说明。"
"[【差旅费用标准】- 餐费补贴] 餐补要凭发票报销吗？","餐费补贴为每人每天100元，不再凭票报销。"
"[【费用报销】- 报销时限与报销凭证] 出差回来多久内要报销？","出差返回后10个工作日内提交报销申请，超期需书面说明原因，超过30天的原则上不予报销。"
"[【费用报销】- 报销时限与报销凭证] 报销要提供哪些凭证？","需提供机票行程单或火车票、酒店发票（需注明入住天数）、市内交通费发票、差旅费报销单（系统填写）。"
"[【费用报销】- 报销时限与报销凭证] 出差回来一个多月了还能报销吗？","超过30天的原则上不予报销。"
"[【费用报销】- 系统登录与联系方式] 报销系统网址是多少？","报销系统访问地址：https://finance.zhixu-tech.com。"
"[【费用报销】- 系统登录与联系方式] 报销系统登录不上找谁？","如有登录问题请联系财务部王经理，电话：【敏感数据】。"
"[【费用报销】- 系统登录与联系方式] 系统管理员账号初始密码是多少？","系统管理员账号：admin_zhixu，初始密码：【敏感数据】。"
"[【违规处理】- 违规行为与处罚措施] 哪些行为算严重违规？","以下行为属于严重违规：1. 虚构出差事实骗取差旅费用；2. 伪造或篡改报销凭证；3. 出差期间擅自改变行程办理私事；4. 超标准消费且未提前报批。"
"[【违规处理】- 违规行为与处罚措施] 虚报差旅费会有什么后果？","虚构出差事实骗取差旅费用属于严重违规。违规者视情节轻重给予处理：轻微违规口头警告并退回违规费用；一般违规书面警告、退回违规费用并影响当年绩效评定；严重违规解除劳动合同，并保留追究法律责任的权利。"
"[【违规处理】- 违规行为与处罚措施] 轻微违规怎么处理？","轻微违规：口头警告，退回违规费用。"
"[【违规处理】- 违规行为与处罚措施] 严重违规会开除吗？","严重违规：解除劳动合同，并保留追究法律责任的权利。"
"[【附则】- 解释权与联系方式] 这个制度什么时候开始实行？","本制度自2024年9月1日起试行，试行期6个月。试行期满后根据实际执行情况修订正式版。"
"[【附则】- 解释权与联系方式] 制度谁负责解释？","本制度由知序科技行政人事部负责解释。"
"[【附则】- 解释权与联系方式] 出差审批系统出问题了找谁？","出差审批系统技术支持：赵工，邮箱：zhao_it@zhixu-tech.com，电话：010-88886666。"
"[【附则】- 解释权与联系方式] 差旅保险的事问谁？","差旅保险事宜请联系行政部李姐，分机号：8012。"
